faculty@email.com,1,2024-04-10
fetchtester@email.com,101,2024-04-11
student@email.com,1,2024-04-11
student@email.com,2,2024-04-11
fetchtester@email.com,101,2024-04-11
student@email.com,1,2024-04-11
student@email.com,2,2024-04-11
fetchtester@email.com,101,2024-04-11
student@email.com,1,2024-04-11
student@email.com,2,2024-04-11
fetchtester@email.com,101,2024-04-11
student@email.com,1,2024-04-11
student@email.com,2,2024-04-11
fetchtester@email.com,101,2024-04-11
student@email.com,1,2024-04-11
student@email.com,2,2024-04-11
fetchtester@email.com,101,2024-04-11
student@email.com,1,2024-04-11
student@email.com,2,2024-04-11
fetchtester@email.com,101,2024-04-11
student@email.com,1,2024-04-11
student@email.com,2,2024-04-11
fetchtester@email.com,101,2024-04-11
student@email.com,1,2024-04-11
student@email.com,2,2024-04-11
fetchtester@email.com,101,2024-04-11
student@email.com,1,2024-04-11
student@email.com,2,2024-04-11
fetchtester@email.com,101,2024-04-11
student@email.com,1,2024-04-11
student@email.com,2,2024-04-11
fetchtester@email.com,101,2024-04-11
student@email.com,1,2024-04-11
student@email.com,2,2024-04-11
fetchtester@email.com,101,2024-04-11
student@email.com,1,2024-04-11
student@email.com,2,2024-04-11
fetchtester@email.com,101,2024-04-11
student@email.com,1,2024-04-11
student@email.com,2,2024-04-11
fetchtester@email.com,101,2024-04-11
student@email.com,1,2024-04-11
student@email.com,2,2024-04-11
fetchtester@email.com,101,2024-04-11
student@email.com,1,2024-04-11
student@email.com,2,2024-04-11
